masked_positions	masked_percentage	log_file
27654	6.9	scaffold7-100_out.log
14002	6.8	scaffold91-536_out.log
16501	6.8	scaffold90-534_out.log
27003	6.8	scaffold19-225_out.log
27006	6.8	scaffold1-2_out.log
27066	6.8	scaffold35-341_out.log
26740	6.7	scaffold19-223_out.log
26903	6.7	scaffold3-43_out.log
26925	6.7	scaffold18-218_out.log
26979	6.7	scaffold29-305_out.log
26247	6.6	scaffold14-182_out.log
26336	6.6	scaffold7-109_out.log
26588	6.6	scaffold20-235_out.log
25912	6.5	scaffold27-289_out.log
25923	6.5	scaffold62-468_out.log
25987	6.5	scaffold22-251_out.log
26011	6.5	scaffold47-412_out.log
26028	6.5	scaffold7-106_out.log
6298	6.5	scaffold42-389_out.log
6722	6.5	scaffold168-601_out.log
7308	6.5	scaffold163-596_out.log
1021	6.4	scaffold64-478_out.log
25520	6.4	scaffold24-265_out.log
25592	6.4	scaffold18-215_out.log
25687	6.4	scaffold1-11_out.log
25774	6.4	scaffold2-25_out.log
1072	6.3	scaffold21-246_out.log
22100	6.3	scaffold7-111_out.log
25111	6.3	scaffold59-455_out.log
25217	6.3	scaffold6-93_out.log
25266	6.3	scaffold1-8_out.log
25299	6.3	scaffold17-209_out.log
24728	6.2	scaffold19-224_out.log
24812	6.2	scaffold20-232_out.log
24819	6.2	scaffold45-401_out.log
24850	6.2	scaffold10-136_out.log
2640	6.2	scaffold79-514_out.log
13666	6.1	scaffold56-446_out.log
24206	6.1	scaffold11-149_out.log
24243	6.1	scaffold8-112_out.log
24309	6.1	scaffold15-191_out.log
24339	6.1	scaffold10-137_out.log
24370	6.1	scaffold3-55_out.log
24395	6.1	scaffold33-328_out.log
24448	6.1	scaffold11-150_out.log
24453	6.1	scaffold24-264_out.log
24560	6.1	scaffold20-233_out.log
23958	6.0	scaffold18-212_out.log
24051	6.0	scaffold22-253_out.log
24098	6.0	scaffold3-42_out.log
23542	5.9	scaffold13-172_out.log
23628	5.9	scaffold1-6_out.log
3833	5.9	scaffold4-73_out.log
23002	5.8	scaffold15-190_out.log
23005	5.8	scaffold35-343_out.log
23094	5.8	scaffold26-279_out.log
23270	5.8	scaffold43-392_out.log
23293	5.8	scaffold14-181_out.log
23373	5.8	scaffold11-147_out.log
8238	5.8	scaffold26-286_out.log
9998	5.8	scaffold93-540_out.log
22638	5.7	scaffold47-413_out.log
22660	5.7	scaffold91-535_out.log
22689	5.7	scaffold11-148_out.log
22202	5.6	scaffold22-250_out.log
22287	5.6	scaffold3-50_out.log
22368	5.6	scaffold30-315_out.log
22376	5.6	scaffold3-51_out.log
22476	5.6	scaffold22-248_out.log
11735	5.4	scaffold35-344_out.log
21659	5.4	scaffold61-465_out.log
21756	5.4	scaffold17-206_out.log
21037	5.3	scaffold14-176_out.log
21109	5.3	scaffold4-66_out.log
21196	5.3	scaffold52-432_out.log
21197	5.3	scaffold7-108_out.log
21375	5.3	scaffold1-9_out.log
20712	5.2	scaffold3-49_out.log
20713	5.2	scaffold49-422_out.log
20954	5.2	scaffold69-486_out.log
20963	5.2	scaffold17-208_out.log
20965	5.2	scaffold11-146_out.log
12750	5.1	scaffold16-201_out.log
20334	5.1	scaffold34-335_out.log
20334	5.1	scaffold41-378_out.log
20361	5.1	scaffold22-249_out.log
20435	5.1	scaffold34-334_out.log
20580	5.1	scaffold37-357_out.log
20594	5.1	scaffold22-252_out.log
20034	5.0	scaffold4-70_out.log
20073	5.0	scaffold37-356_out.log
19470	4.9	scaffold13-166_out.log
19608	4.9	scaffold34-336_out.log
19721	4.9	scaffold4-72_out.log
15268	4.8	scaffold14-183_out.log
19014	4.8	scaffold4-61_out.log
19017	4.8	scaffold4-69_out.log
19171	4.8	scaffold61-464_out.log
4180	4.8	scaffold178-609_out.log
18571	4.7	scaffold64-477_out.log
18792	4.7	scaffold2-30_out.log
18923	4.7	scaffold2-35_out.log
18224	4.6	scaffold2-29_out.log
18234	4.6	scaffold13-170_out.log
18279	4.6	scaffold16-200_out.log
18310	4.6	scaffold13-168_out.log
18362	4.6	scaffold43-394_out.log
18397	4.6	scaffold13-171_out.log
18430	4.6	scaffold10-139_out.log
18545	4.6	scaffold4-63_out.log
17819	4.5	scaffold37-355_out.log
17887	4.5	scaffold4-65_out.log
17946	4.5	scaffold4-64_out.log
17947	4.5	scaffold4-62_out.log
18104	4.5	scaffold60-460_out.log
17415	4.4	scaffold14-177_out.log
17514	4.4	scaffold14-179_out.log
17780	4.4	scaffold13-169_out.log
17068	4.3	scaffold10-141_out.log
17130	4.3	scaffold62-469_out.log
17223	4.3	scaffold2-33_out.log
17234	4.3	scaffold18-213_out.log
17358	4.3	scaffold16-197_out.log
17394	4.3	scaffold16-195_out.log
16655	4.2	scaffold13-167_out.log
16668	4.2	scaffold19-221_out.log
16702	4.2	scaffold30-313_out.log
16719	4.2	scaffold10-142_out.log
